epochs,loss,accuracy,model,fit_time,total_params
6,2.282037532221162,0.7178808,keras_xception_model 128,130.91560409545897,20869676
7,1.4216413054985322,0.7509934,keras_xception_model 128,152.73487144470215,20869676
8,4.834250385556,0.43046358,keras_xception_model 128,174.5541387939453,20869676
9,0.845898554358471,0.83178806,keras_xception_model 128,196.37340614318848,20869676
10,14.278090796525905,0.35231787,keras_xception_model 128,218.19267349243165,20869676
11,3.3493806895134015,0.47019866,keras_xception_model 128,240.0119408416748,20869676
12,0.8539352732679701,0.81059605,keras_xception_model 128,261.83120819091795,20869676
13,0.8064867165137009,0.8370861,keras_xception_model 128,283.65047554016115,20869676
14,0.5762743694498049,0.81589407,keras_xception_model 128,305.4697428894043,20869676
15,0.6466871092256331,0.85827816,keras_xception_model 128,327.28901023864745,20869676
16,1.3610223524617833,0.8370861,keras_xception_model 128,349.1082775878906,20869676
17,0.8540227860508376,0.8635762,keras_xception_model 128,370.9275449371338,20869676
18,5.229667155316334,0.4688742,keras_xception_model 128,392.74681228637695,20869676
19,1.616589104448328,0.7735099,keras_xception_model 128,414.5660796356201,20869676
20,0.5333598117120503,0.8397351,keras_xception_model 128,436.3853469848633,20869676
21,1.2907768778453599,0.7682119,keras_xception_model 128,458.20461433410645,20869676
22,0.5940532160818034,0.84635764,keras_xception_model 128,480.0238816833496,20869676
23,0.7724823225172397,0.8370861,keras_xception_model 128,501.84314903259275,20869676
24,10.44861639667031,0.51655626,keras_xception_model 128,523.6624163818359,20869676
25,0.8252164676002172,0.8423841,keras_xception_model 128,545.4816837310791,20869676
26,1.5142945968160493,0.78145695,keras_xception_model 128,567.3009510803223,20869676
27,1.5968489532790684,0.7536424,keras_xception_model 128,589.1202184295654,20869676
28,0.5686793256773065,0.85298014,keras_xception_model 128,610.9394857788086,20869676
29,0.8925712009796268,0.8384106,keras_xception_model 128,632.7587531280518,20869676
30,0.8598659297075147,0.8370861,keras_xception_model 128,654.5780204772949,20869676
31,1.0876795531898145,0.7708609,keras_xception_model 128,676.3972878265381,20869676
32,0.9210291136412354,0.80794704,keras_xception_model 128,698.2165551757812,20869676
33,0.594298071614297,0.84635764,keras_xception_model 128,720.0358225250244,20869676
34,1.2644171132325637,0.797351,keras_xception_model 128,741.8550898742676,20869676
35,1.4519570542361806,0.81059605,keras_xception_model 128,763.6743572235107,20869676
36,1.6129224971111302,0.8344371,keras_xception_model 128,785.4936245727539,20869676
37,2.4606432915177963,0.7350993,keras_xception_model 128,807.3128919219971,20869676
38,2.2334085958739602,0.66225165,keras_xception_model 128,829.1321592712402,20869676
